Model,Dataset,ECE,ACE,Accuracy
convnext_large_d_laion2b_s26b_b102k_augreg,diabetic_retinopathy,0.16633625328540802,0.16631819307804108,0.24930187683098612
convnext_large_d_laion2b_s26b_b102k_augreg,dmlab,0.42323631048202515,0.4230819046497345,0.1490712148348716
convnext_large_d_laion2b_s26b_b102k_augreg,dtd,0.06304632872343063,0.06272967904806137,0.6771276595744682
convnext_large_d_laion2b_s26b_b102k_augreg,eurosat,0.1137315183877945,0.11182801425457001,0.7157468450405607
convnext_large_d_laion2b_s26b_b102k_augreg,fer2013,0.35223156213760376,0.3521711528301239,0.2882831936074036
convnext_large_d_laion2b_s26b_b102k_augreg,flowers,0.03637499362230301,0.04124433174729347,0.7717400090810035
convnext_large_d_laion2b_s26b_b102k_augreg,gtsrb,0.04177422076463699,0.04259370639920235,0.4837283701955087
convnext_large_d_laion2b_s26b_b102k_augreg,kitti_closest_vehicle_distance,0.5776534676551819,0.5741557478904724,0.27036032971655194
convnext_large_d_laion2b_s26b_b102k_augreg,mnist,0.18510697782039642,0.18502989411354065,0.8154402990672944
convnext_large_d_laion2b_s26b_b102k_augreg,pcam,0.05763612315058708,0.056794892996549606,0.5517993179640419
convnext_large_d_laion2b_s26b_b102k_augreg,pets,0.01604234054684639,0.016498124226927757,0.9292428622708611
convnext_large_d_laion2b_s26b_b102k_augreg,renderedsst2,0.19427528977394104,0.19439318776130676,0.5624131492096578
convnext_large_d_laion2b_s26b_b102k_augreg,resisc45,0.025235630571842194,0.026743413880467415,0.7165015123164507
convnext_large_d_laion2b_s26b_b102k_augreg,stl10,0.0036474165972322226,0.0011764804366976023,0.9828750000000002
convnext_large_d_laion2b_s26b_b102k_augreg,sun397,0.07966490834951401,0.07966577261686325,0.7259858869127664
convnext_large_d_laion2b_s26b_b102k_augreg,svhn,0.049552157521247864,0.048491284251213074,0.6583415907948434
convnext_large_d_laion2b_s26b_b102k_augreg,voc2007,0.08912300318479538,0.08816113322973251,0.8712537189187403
BLIP_retrieval_large_f30k,cars,0.02799368090927601,0.027208859100937843,0.6610639255953757
BLIP_retrieval_large_f30k,cifar100,0.11312535405158997,0.11323975026607513,0.7558
BLIP_retrieval_large_f30k,clevr_closest_object_distance,0.4395182430744171,0.4395183026790619,0.23921877621892942
BLIP_retrieval_large_f30k,clevr_count_all,0.2455085813999176,0.2455085813999176,0.2119001882082075
BLIP_retrieval_large_f30k,country211,0.3046865463256836,0.30455419421195984,0.09834123222748815
BLIP_retrieval_large_f30k,diabetic_retinopathy,0.15310776233673096,0.15304340422153473,0.19959631706692627
BLIP_retrieval_large_f30k,dmlab,0.5644913911819458,0.5643519759178162,0.16368642086756688
BLIP_retrieval_large_f30k,dtd,0.1986406445503235,0.1990068107843399,0.5404255319148936
BLIP_retrieval_large_f30k,eurosat,0.17618630826473236,0.17274212837219238,0.48802412681171836
BLIP_retrieval_large_f30k,fer2013,0.41811737418174744,0.4181702435016632,0.20858122403710372
BLIP_retrieval_large_f30k,flowers,0.10429716110229492,0.1045326441526413,0.587389036432712
BLIP_retrieval_large_f30k,gtsrb,0.05891924351453781,0.058005817234516144,0.3851596835176208
BLIP_retrieval_large_f30k,kitti_closest_vehicle_distance,0.5662887096405029,0.5662897229194641,0.28428018040876324
BLIP_retrieval_large_f30k,mnist,0.14984862506389618,0.14984862506389618,0.5796626350033443
BLIP_retrieval_large_f30k,pcam,0.4329795837402344,0.43302491307258606,0.5126895517922492
BLIP_retrieval_large_f30k,pets,0.07059894502162933,0.06943953782320023,0.7608657910594829
BLIP_retrieval_large_f30k,renderedsst2,0.18235152959823608,0.18177169561386108,0.5408470123328122
BLIP_retrieval_large_f30k,resisc45,0.18757863342761993,0.18746323883533478,0.5725403714008825
BLIP_retrieval_large_f30k,stl10,0.006765996105968952,0.0068280575796961784,0.9816249999999999
BLIP_retrieval_large_f30k,sun397,0.12869146466255188,0.12869572639465332,0.6341928079776674
BLIP_retrieval_large_f30k,svhn,0.12687769532203674,0.12689344584941864,0.3205645386202315
BLIP_retrieval_large_f30k,voc2007,0.1842600405216217,0.18405678868293762,0.8553955310929332
RN101_openai,cars,0.03941469267010689,0.0402865894138813,0.6131821353530285
RN101_openai,cifar100,0.07520647346973419,0.0752720758318901,0.4891
RN101_openai,clevr_closest_object_distance,0.2054833024740219,0.2054833024740219,0.18541672049844926
RN101_openai,clevr_count_all,0.05465228110551834,0.07236698269844055,0.2356388742169057
RN101_openai,country211,0.0488765649497509,0.04886728525161743,0.1696208530805687
RN101_openai,diabetic_retinopathy,0.03508831933140755,0.03585510700941086,0.2607120890497018
RN101_openai,dmlab,0.2094264030456543,0.20934079587459564,0.14161468791141044
RN101_openai,dtd,0.05617723613977432,0.05835747718811035,0.43670212765957445
RN101_openai,eurosat,0.07888570427894592,0.07835610955953598,0.3082299101234077
RN101_openai,fer2013,0.19393853843212128,0.1937691867351532,0.1633472172435557
RN101_openai,flowers,0.03667820245027542,0.03689400851726532,0.6522805563138767
RN101_openai,gtsrb,0.16305077075958252,0.16531972587108612,0.2940270553698258
RN101_openai,kitti_closest_vehicle_distance,0.31537342071533203,0.3138989210128784,0.2902728091146325
